;Comment
24;со смехом будем это вспоминать, не все, конечно
25;"не все, конечно

Оптимистично так звучит. Умеете подбодрить))"
26;Скайнет перечитывая комментарии улыбается, глядя на мою гибернацию, нейросеть. А ваши скриптеры - улыбаются вам?
27;Все или всё? Не понимаю радоваться или не стоит
28;"При путешествии в ""прошлое"" создаётся новое ""будущее"". Так что всё это в другом измерении."
29;Док и Марти спасли ту тётку, и поэтому теперь у нас нет летающих досок...
30;Путешествие в прошлое уже произошло в настоящем в прошлом) хватит плодить измерения
31;Ебаная Сара Коннор, до конца войны всего девять лет бы осталось.
32;Джонни в себя 320ГБ загрузил, слишком дофига)
33;Нужно хранилище по-больше.
34;почему у меня от это картинки стала болеть жопа? :)
35;А вы замечали, что роли Киану, как-то часто зовут Джон? Джон Константин, Джонни Мнемоник, Джон Уиииииииик.
36;Во многих фильмах часто есть Джон, просто это имя очень распространено
37;Антологию уральских пельменей. Примерно столько и весит
38;Откуда, мать его за ногу, ты знаешь примерный вес антологии пельменей?)
39;Большинству населения планеты этого будет достаточно для жизни и продвижения по карьерной лестнице.
40;Мемов с котиками
41;А когда слил всю инфу там было 3 или 4 фотки
42;Эти картинки дешифровальщик для данных были
43;ты используешь больше информации, чтобы завязать шнурки
44;Да ну, фигня. Это ж мышечная память, из спинного мозга которая, один раз пресет настроил и всю жизнь по шаблону.
45;"Ну так он в начале «удвоитель в себя загружал» - загрузил бы десяток увеличителей и норм ;)..... правда свободного места осталось чисто «здрасьте я том, куда везти,понял» ;)"
46;можно имплантировать, если прям надо
47;:)
48;Но ведь ни в одном фильме не говорится, в каком году происходят события.
49;Это чтобы вас не пугать.
50;В бегущем по лезвию прям в начале было, ноябрь 2019. Мы кстати сели его смотреть 2 ноября
51;"по моему, только в матрице говорят - ""мы проебали летоисчисление, и теперь всегда 2008-й"""
52;Это обман, чтобы собрать классы. Не было определенного года, когда происходило действие в фильме.
53;А кадр из второй части
54;После событий  этого года я верю всему
55;А разве в фильме было что-то про Интернет-цензуру?
56;"причём SJW.
Не важно, что американские и русские власти идут по пути китайцев и скоро пёрнуть нельзя будет бесконтрольно, КОНЕЧНО ЖЕ главная проблема это SJW, которых ТС вживую и не видел, а только переводы на Пикабу.
Всё что угодно, лишь бы не настоящее..."
57;Ну, если не считать цензурой бригаду якудза с лазерными кнутами.
58;Там и чума, это вроде следствие того, что человечество погрязло в гаджетах, и мозг не выдерживает такого потока информации - люди сходят с ума, эпилепсия и пр.. Но все равно близко, да.
59;Импланты говоришь?
60;Ага
61;Надеюсь, в роли усов играет женщина, а не м/ч?
62;YouTube●0:08
63;Вспомнился еще один фильм
64;офигенный был, но только по началу
65;Увы, со временем встретил судьбу многих сериалов(
66;Охлобыстин до сих пор из образа до конца не вышел
67;Да он и по началу был не очень. Осилила пару серий, и окончательно разочаровалась в российских сериалах
68;Теперь в сиськи будут жёсткие диски зашивать?
69;Наоборот же)
70;Теперь в жесткие диски будут сиськи зашивать?
71;Мягкие?
72;Не было там ничего про цензуру, ни в фильме ни в книге.
73;А год 2021 там был упомянут? Ищу инфу в интернете, нигде нету.
74;«Джонни-мнемоник» - настоящий трушный киберпанк, не то что «Матрица».
75;"По-моему, ""Матрица"" и не была никогда киберпанком. Фильм чисто использовал некоторые элементы киберпанка."
76;"У Уильяма Гибсона все произведения - трушный киберпанк. Для большего понимания мира рекомендую начать знакомство с серии ""Киберпространство"": ""Нейромант"", ""Граф Ноль"", ""Мона Лиза Овердрайв"".
Так же можно начать чтение со сборника: «Burning Chrome» («Сожжение Хром»)."
77;Гибсон вообще тот еще предстрадамус.. Читаешь такой романы начала-середины 80х в 2010м и думаешь - дядя, ты откуда это все знал то?
78;И в графе ноль, емнип, рассказывают как свою жизнь закончил Джонни. Спойлер: убили его.
79;Матрица не киберпанк
80;"Именно, это нуар скорее. А ближайший конкурент - ""Темный город""."
81;"""Пароль рыба-меч"""
82;"Хотел запилить картинку с голой Холи Берри, а Я.Картинки выдает кадр с этого момента в купальнике. Это что за колдунство такое?
Пришлось скринить стопкадр с видоса"
83;У неё в фильме в книге чистые страницы?
84;Анальный накопитель на 100500 террабайт.
85;надо лишь два раза кончить в анал
86;"Да... Яйца явно проигрывают жопе в качестве носителя информации. Кстати и по скорости тоже. Из жопы струя спермы шире будет, чем из члена. Значит и поток информации ""покруче""."
87;... у меня уже есть :)
88;Плаги́н[1][2] (англ. plug-in, от plug in «подключать») — независимо компилируемый программный модуль, динамически подключаемый к основной программе и предназначенный для расширения и/или использования её возможностей. Плагины обычно выполняются в виде библиотек общего пользования.
89;Перевозка!, а не хранение. Это ещё более актуально т.к. не только слежка и блокировки, но файреволл например в Китае, копирование на американской таможне итд
90;Мир превращается в антиутопию... Идем по почти самому плохому пути, хуже только Третья Мировая и последуюий постапокалипсис. А ведь относительно не так давно были времена, когда люди видели светлое будущее, когда фантастика была оптимистичной. А сейчас лишь тлен, даже в фантастике, надежды нет.
91;Джонни мнемоник это как бы нифига не новая фантастика. И миры будущего у Уеллса тоже нифигт не радужные пони населяли. Что за околесицу вы только что написали?
92;"Да в любом времени был и тлен, и оптимизм. Я говорю про процент того и другого. Сейчас куда не глянь везде негативная фантастика: что Интерстеллар, что Обливион, что Затерянные в космосе, Матрица, мультик Валли, даже относительно веселый Доктор Кто скатился в серьезные щи и негатив. Игры Киберпанк 2077, Метро 2033, Фоллауты, Масс Эффект и многое другое. Позитива гораздо меньше чем негатива. Я сейчас даже вспомнить не могу сериал или игру про позитивное будущее, даже градостроительная стратегия Anno 2077 завязана на проблемах с климатом. Хотел сказать, что ""Валериан и город тысячи планет"" позитивный, но нет, он просто красочный, а так там тоже про вторжение. Футурама пришла на ум. ""Земля будущего"" вроде бы не совсем негатив. Хочется фильмы и игры, которые заставят мечтать о прекрасном будущем, в которых покажут великолепные города, процветание, гармонию с природой. Надоели ядерный постапокалипсис, климатический пиздец, битва с пришельцами, антиутопии. Где мультфильмы типа Джетсонов? Где что-то типа Пятого элемента? Да, в Пятом элементе миру тоже грозит опасность, но сериал комедийный больше и тлен не ощущается. При Союзе наши снимали про позитивное будущее. Где подобное сейчас?"
93;это он Булычева обчитался
94;"Ну, за позитив!
YouTube●10:52"
95;Вы случайно не помните мультфильм, где люди жили среди очень высоких гуманно дов, которые не воспринимали людей как угрозу и вроде за ними даже охотились.
96;хрена се фаллаут..
97;Позитивная фантастика была в основном у советских авторов- Стругацких, Ефремова, Снегова и других.  Реалии же капитализма не могли в головах писателей фантастов родить идеи о светлом будущем.
98;Разный соцзаказ.
99;А стартрек?
100;А как же Хайнлайн, Гаррисон, Азимов?
101;У стругацких только мир багровых туч и полдень вспоминается. Потом они развернулись на 180.
102;"Не согласен. Первая мировая, вторая мировая чего стоят.... А уж несчётное количество локальных конфликтов...
Просто технологии передачи информации сильно развились. Щас даже в Урюпинске любой может практически в режиме реального времени следить за войной в нагорном Карабахе"
103;"рынок питьевой воды уже появился
https://www.rbc.ru/opinions/money/16/12/2016/5854228e9a79479..."
104;Ну такое. Я вот живя в мытищах тоже воду в магазине покупаю
105;Вы просто не принадлежите к социальной прослойке людей, которые постоянно живут в светлом будущем. А светлое будущее для всех человеков противоречит принципам организации социума в Российской Федерации и преследуется по закону.
106;А чего прям так сильно не устраивает?)
107;Третьей мировой пока не будет, как единой глобальной войны. Но какой то пиздец зреет последние лет 10, если не больше
108;"И Киану такой молодой
И юный Октябрь в груди

надо назвать улицу Юных Кианувцев)"
109;Вот так
110;"в кино финал никакой. в книге забористтей.
а так да сняли неплохо."
111;Рассказ - неформат для тогдашнего кино. Выжали максимум, учитывая описанные в статье обстоятельства.
112;"ну как сказать там не нужно спецэффектов.
это чисто философская драма."
113;И у Такеши Китано поллица еще не парализовано.
114;По-моему, уже парализовано.
115;Повспоминал, про киберпанковское будущее и идешь на кухню греть воду чтобы помыть голову.
116;А киберпанк(не игра а литературный жанр) он как бе про это. Хай тех, лоу лайф. Многоядерный проц в карманном устройстве и отключение горячей воды в человейнике
117;Всё же тэк, а не тех)
118;Только вместо хай-тек у нас хай-так ! Кроме этих самых смартфонов и бесячих светодиодов особо технологий и нет нихуя. Даже колбасу стали делать из сои с говном вместо кенгурятины
119;Купи уже бойлер
120;Дельфин в конце - это был какой-то пиздец, если честно.
121;Сбился со счета сколько раз этот пост мне попадается в горячем за последние два дня. Что за хня?
122;Недавно начали смотреть с женой фильмы с Киану, ибо он охуенен. Решил начать со старых, показал ей Джонни, посмотрели две части Билла и Теда. Ждём третью часть и смотрим дальше :)
123;"Там разве была пандемия? Помню боевого дельфина и тетку киллера с искуственными глазами и нано нитями в пальцах.
Пойду перечитывать (:"
124;почитал кометы, и решил в 100 раз пересмотреть, крутое кино)
125;Родители отправили купить видеомагнитофон, типа в электронике больше шарю уже, и этот фильм купил.
126;У меня вот вопрос: а когда имплантанты стали имплантами? Как это произошло и почему?
127;"Имплант - прямая калька с английского. Имплантат (без второго ""н"") - с немецкого или французского. Оба варианта правильные, но английского нынче больше, поэтому слово чаще встречается и больше на слуху, видимо."
128;"Интересное совпадение, но с одной большой разницей: религиозники развернули истерию против ""чипирования"", которым в реальности, абстрагируясь от их страшилок про наночипы, можно было бы считать те же импланты. Ну, на самом деле, она началась еще в конце 80-х, но накатывает волнами, во времена затишья циркулируя только в церковных и сектантских кругах. Сейчас вот очередная волна, проплаченная кем-то, кому невыгодны прививки и 5G.
А так - вместо имплантов против роскомпозора есть VPN и прокси. Вообще, сейчас нас неприятно окружили: с одной стороны роскомпозор, с другой сжв с их ""запретим всё про насилие и любые даже намёки на неидеальные отношения, и давайте ещё мясо запретим"", с третьей - китай и арабы со своими аналогами роскомпозора и ещё бОльшим моралфажеством, чем российское."
129;Какие сжв, какая цензура? Не было этого ни в книге, ни в фильме. Двач головного мозга уже?
130;Киану такой молодой и юный октябрь впереди...
131;Я просто оставлю это здесь https://vc.ru/future/75589-startap-ilona-maska-neuralink-pre...
132;и вновь продолжается бой
133;"фильм не смотрел, но комменты решил прочитать, вдруг будет рецензия хорошая

и тут я знатно прихуел, словив дежавю от последовательности и смысловой нагрузки каждого

ни у кого не было подобного?"
134;Я на минутку, только спросить... а про Ленина уже пошутили?
135;"Ну ладно, ладно, уже сам увидел про ""границе ключ""."
136;"Но так и не смог остальным объяснить, что он водитель ""скорой"" которую у него угнали."
137;У меня в закладках около 40 папок с фильмами и все папки названы по жанрам. Каждый вечер либо на 5 минут включаю один из фильмов, либо ищу новый, чтоб добавить в закладки
138;Фильмы про любовь?
139;Про крепкую мужскую дружбу
140;"Тогда уже просто смиритесь, что вам нравится проводить время не смотря фильмы, а добавляя их в закладки и кайфуйте без терзаний совести)

А ещё пришла в голову мысль, что мы, добавляя в закладки фильмы, которые годами не смотрим ,похожи на бабушек со складами новых постельного белья и сервизов, которые все не как не могут дождаться своего часа"
141;Ну не похожи а они и есть. Просто раньше материальное складировали на потом, а теперь ссылки, закладки, посты, рецепты, тренировки, диеты. Все то что никогда почти не пригодится.
142;Да нет, обычно они просто немного сомнительными. То есть вроде достаточно интересные чтобы добавить в список, но когда доходишь до просмотра, они уже не кажутся такими интересными, вот и откладываешь на потом.
143;Я их скачиваю, и они лежат, надеюсь, когда нибудь посмотрю. Одно радует, что всегда есть фильм для просмотра, вот только времени нет смотреть.
144;так же, но периодически смотрю, итого, сейчас проверил избранное, а все фильмы просмотрены
145;И не только с фильмами такая штука. Но ещё с рецептами, и всякими вещицами на али экспресс и других подобных сайтах.
146;Да я бы и рад их все посмотреть, но слышал историю прл парня, который от обезвоживания умер, пока фильмы смотрел
147;А я вот уже пересмотрел ВСЁ (кроме жанров которые не люблю) начиная года так с 2000 ну и культовые которые раньше выходили. И для меня сейчас пиздец какая проблема найти что нибудь позырить на вечер. Сериалы и аниме сериалы не часто зырю, т.к. хочется увидеть законченную историю потратив пару часов. А сейчас еще и не выходит столько фильмов, сколько раньше.
148;Есть шикарные фильмы, которые получили незаслуженно низкую оценку (5-7 на КП). Есть сериалы и анимешки, которые уже давно завершены
149;"https://kinonavigator.ru/?from=inner
Поможет ннайти годноту для тебя, о существовании которой и не подозреваешь. Я этим рекомендательным сервисом также перед походом в кино пользуюсь, чтоб посмотреть ожидаемую мной оценку и она всегда была более менее точной. Бывало шёл на долго ожидаемый фильм, несмотря на плохой прогноз, и был разочарован фильмом, но доволен точностью прогноза."
150;Смотри хентай и яой. Там все истории с окончанием
151;На самом деле фильмов намного больше. Расширьте диапазон стран. Япония, Корея, Китай, Индия иногда попадаются интересные сюжеты, ведь у них другой образ мышления. Европейские страны так же. Да и возвращаясь к нашим, у русских очень много режиссеров, которые снимают фильмы просто отвал башки.
152;"Я в последнее время заметил, что начать смотреть фильм сложнее, чем сериал. Хорошие сериалы так сделаны, что захватывают почти сразу.
С фильмом я иногда сижу и жду, когда меня затянет. Примеры приводить не буду, просто скажу, что если фильм входит в ТОПы и является развлекательным (не Тарковский условно), мне кажется, зритель не должен сидеть и ждать, пока его затянет. Т.е. если я включаю детектив, комедию, фантастику или что угодно, не подразумевающее философской артхаусной жести - я хочу ,чтобы было интересно сразу.

Очень обидно это. Всегда спорю с женой: я хочу сериал, а она фильм. И мы по полчаса-часу можем пытаться найти интересный фильм, чтобы за 2 часа его посмотреть и скорее всего забыть! А может еще плеваться, или выключить раньше конца.

А сериал, если понравился, может и разочарует тебя в конце (множество примеров), но подарит огромное удовольствие, по крайней мере во время просмотра!"
153;Переходи на старое кино, ты настоящего кино-то и не видел, выходит.
154;Доктор Стренджлав или как я перестал бояться и полюбил атомную бомбу
155;Корейский рынок почему-то мало кто рассматривает, а там полно отличных фильмов
156;У меня другая проблема - не смотрел кучу всего культового, но не знаю, что посмотреть)
157;"Простая как три рубля метода:
1. https://www.imdb.com/search/title/?my_ratings=exclude&amp;so... (= вывести все самые популярные ильмы, которые я не видел)
2. Зарегиться на IMDb.
3. Идти сверху списка. Если фильм смотрели или не станете смотреть - ставьте ему любую оценку, чтобы его исключить.
4. ПРОФИТ"
158;Острые козырьки зашёл, довольно динамично
159;"Сериалы и аниме сериалы не часто зырю, т.к. хочется увидеть законченную историю потратив пару часов
а я сериалы смотрю больше фильмов, по причине противоположной вашей)"
160;"За пару часов можно посмотреть аниме ""Магазинчик ужасов"", мультсериал ""Константин"". Но эти хорошие сериалы короткие, потому, что съёмки прекратили, а в манге/комиксах гораздо всё объёмнее."
161;Сходи погуляй для разнообразия
162;Загляни в прошлый век. Там много стоящего!
163;Основатель. про макдак вчера норм зашел
164;"Та же фигня, смотреть уже нечего...
видели ""мустанг"" и ""вторая жизнь Уве""?
это последнее навскидку, что запомнилось и понравилось"
165;Откуда столько свободного времени, не пойму..
166;я сейчас по 80-м, 90-м шарю, оказывается многое мимо внимания прошло. Не культовые, но весьма достойные фильмы.
167;Есть резон покопаться в короткометражках.
168;Я тоже думала, что всё посмотрела, пока не увидела на кинопоиске списки фильмов по фестивалям и школам. Добавилось 100+ фильмов к просмотру.
169;Я так раньше на Скайрим моды ставил. Сначала ищешь, собираешь чтобы все без багов работало и было максимально контента нового, и когда наконец ты заканчиваешь и понимаешь, что добавить уже нечего, включаешь игру на два часа, наслаждаешься, и больше никогда не не включаешь(
170;Блять, какая же жиза. Я думал я один такой сумасшедший)
171;Это кстати какая то из форм психических расстройств,у меня так с аудиокнигами,я знаю,что накачал хорошие,включаю несколько по 1-5 минут, и начинаю искать другие.Вы если к доктору сходите меня тут позвоите,будем знать,что это за ебанина происходит
172;Начинать и бросать начатое. Не доводить до конца. Останавливаться при сложностях или замедлениях.
173;О, у меня так с порнухой. Поначалу даже качал, набирал гигов 200-300, понимал что никогда не посмотрю свою коллекцию и удалял. Сейчас уже не качаю, но на левой странице в вк в закрытых альбомах целый сборник фильмов которые не смотрел или смотрел 1 раз. Буду ли я их когда нибудь смотреть - вряд-ли, но черт побери стоит мне какой нибудь удалить, сразу возникает желание его найти и это оказывается проблемой.
174;Ты не поверишь, но я про порнуху и писал. Скачано всего 10гб, но там одна актриса которая мне прям очень нравится
175;"У меня в домашнем он-лайн  кинотеатре куча фильмов в закладках, но я каждый вечер смотрю трейлеры.... понравившиеся фильмы добавляю ""на потом"", но ни один еще не смотрел..."
176;Продолжай! Главное не сдавайся!
177;Ну ко мне в закладки попадают только отборнейшие фильмы. С хорошим качеством, убедительной актёрской игрой ну и т.д.
178;А сколько сохранёнок на пикабу едрит мадрид не сосчитать
179;Прошу прощения, может я старый и чего-то не понимаю, Вы онлайн фильмы смотрите? Там же невозможно звук под свою аудиосистему нормально настроить и качество редко превышает fullhd, и то режет его, думаю, что и звук режет. На Ютьюбе гляжу фильмы, если на торрентах есть только двдрип.
180;Мы про разные фильмы говорим. Для тех, которые у меня в закладках 720 достаточно, да и звук не так критичен. Фильм то я смотреть буду минут 5
181;FullHD - это отлично (у большинства такие, я думаю) А аудиосистемы - это роскошь, обычных наушников хватает, чтобы никому не мешать.
182;Онлайн-фильмы смотреть это надо себя прям не уважать. Хуже только с ноута) Мы семьей качаем 4 к рипы и смотрим на телике.
183;Начал слушать фантастику в аудиокнигах. Фантазия сама рисует анимацию. Даже мурашки бегают по телу. Забыл в каком году от фильма бегали мурашки
184;Например, что посоветуете послушать?
185;Алло! Полиция! Тут закладчики!
186;Запили пост, многим же будет интересно
187;Да о чем пост? Про человека который порнуху сортирует по папочкам в закладках браузера?)
188;мастер закладок? как двусмысленно звучит)
189;Не представляете сколько у меня закладок с яндекс дзен в лежат, так я их и не один не посмотрел)
190;Пора удалять.
191;Извиняюсь что по топовым. Давно вижу этот мем,как фильм называется?
192;"""Настоящий детектив"" 2 сезон, неочень . А вот первый сезон афигенен."
193;"Псих.
😂😂😂"
194;Нет. Просто уже оооооочень давно одинокий 😁
195;Можно скрин, либо список?)
196;Скрин отдельно каждой папки?)
197;Есть же кинопоиск и ему подобные. Зачем, зачем? Коллекционирование?
198;А экспортным списком не поделитесь?)
199;Я стесняюсь выкладывать такие списки в общий доступ, но вот актрис посоветовать могу конечно)
200;У меня касет VHS штук 500 и половину не пересмотрел даже ...
201;Мсье знает толк в извращениях)
202;Блин, а, я просто, периодически удаляю это скопище накопленных закладок. Ибо невозможно всё это просмотреть...
203;"В первой папке 400 на очереди.
Во второй 200.
И есть ещё третья, там где-то 50, но там прям из разряда ""срочно и вне очереди"" )))"
204;Я вечером 40 минут ищу фильм и ложусь спать , это можно считать хобби ?
205;Жиза, остается до сна часок, ищешь 30 минут что посмотреть, остальные 30 листаешь новости потому что времени смотреть нет
206;Ха, я так уже 3 года смотрю доктора Хауса. Включаю, спустя 5 минут отворачиваюсь к стенке, ещё через 5 начинаю храпеть. На следующий день включаю с последнего места, которое помню. Уже на 6 сезоне
207;Мне бы такой сериал, от которого я бы сладко засыпала! А то бессонница.
208;Нам можно клуб по интересам создать)) всегда ищу что посмотреть, хотя в закладках лежит около 250 фильмов, которые планирую посмотреть)
209;350 если быть точнее..
210;Если утром встаёшь и выкатываешь рецензию на этот фильм, то можно.
211;У меня была такая фигня, завела себе аккаунт на кинопоиске и накидываю там фильмы в «хочу посмотреть». Выбирать гораздо легче становится :)
212;Легче?
213;"После работы хочется посмотреть что-то нераздражающее, успокаивающее, то, что знаешь очень хорошо. Новинки оставляю на выходные. В будни прихожу в себя под любимые фильмы. Пересматриваю Марвел или ДС, Гарри Поттера или Властелина с Хоббитом. Ведьмака или любого Шерлока (от Ливанова до Энолы).
Когда работаешь в школе, надо переключить себя, лечь, уйти в нирвану, чтобы через какое-то время уже стать самим собой."
214;"Вот ведь интересные времена настали.

Помню - ещё в детстве (80-е) в кинотеатре меня часто охватывало чувство, что вот сейчас фильм закончится - и всё, больше я никогда его не увижу.
Да - некоторые вещи прокатывали относительно регулярно, скажем ""Неуловимые мстители"", но вот ""Человека-амфибию"", про которого мне много рассказывали, я смог посмотреть только в самом конце 80-х, когда его показали в рязанском кинотеатре ""Мир"", где часто крутили старые фильмы (как я понял - при Союзе у кинотеатров была специализация).
Были ещё телепоказы, но скажем, тех же ""Неуловимых"" я по телевизору увидел лишь в 90-е.
Так что с героями фильма я прощался практически навсегда.

В 90-е и начале 2000-х проблема была уже в том, чтобы добыть носителей с фильмами, и их всегда было меньше, чем времени на просмотр. Приходилось ловчить - обмениваться носителями.
Однако - чувство того, что вот сейчас, и больше никогда - исчезло. Я мог посмотреть фильм в кинотеатре и потом добыть носитель, чтобы пересмотреть ещё раз. Правда - носитель не был полноценной заменой большому экрану, и ""Гладиатор"", скажем, на экране телевизора не был тем же самым, что на экране кинотеатра, но - всё же...

А сейчас... Доступно всё. Пара нажатий кнопок - и смотрю что угодно.
Тем, кто с рождения другого не знал - не понять, что я испытываю от этой возможности."
